product_category,product_name,model_number,description,,,
LINE VOLTAGE PENDANTS,Sora,582-134,Two-toned teardrop-shaped glass with an opal glass diffuser.  Includes 6' of field-cuttable cord. Incandescent includes (1) E26 medium base 43 watt BT15 lamp, fluorescent includes (1) GX24Q-3 base 32 watt triple tube compact fluorescent lamp. May also be lamped with a GX24Q-3 26 watt triple tube compact fluorescent lamp (not included). 120v.,,
LINE VOLTAGE PENDANTS,Julep,677-135,Crystal clear glass shade with a colorful fabric-covered cord.  Includes cloth-covered cord and 12' of field-cuttable aircraft cable . Incandescent includes (1) E26 medium base 60 watt or equivalent classic Edison lamp or (1) E26 based 60 watt or equivalent half-G40 half-chrome globe lamp, fluorescent includes (1) E26 medium base 11 watt Plumen™ self-ballasted compact fluorescent lamp. 120v.,,
LINE VOLTAGE PENDANTS,Pavia,489-136,Grand cone-shaped glass with silver leaf band and 6' of field-cuttable cord.  Fluorescent includes (1) 26 watt G24Q-3 base quad tube compact fluorescent lamp and electronic ballast, Incandescent accepts (1) 75 watt or equivalent E26 medium base A19 lamp (not included). 120V.,,
LINE VOLTAGE PENDANTS,Rhythm,LP761-137,"Hand-paddled, blown glass shade with dimple detail. Includes 6' of field-cuttable black/white fabric-covered cord.  Incandescent includes (1) E26 medium base 75 watt or equivalent A19 lamp; fluorescent includes (1) GX24Q-3 base 26 watt triple tube compact fluorescent lamp. May also be lamped with (1) GX24Q-3 base 32 watt triple tube compact fluorescent lamp (not included) Incandescent version dimmable with a standard incandescent dimmer. 120v.",,,
LINE VOLTAGE PENDANTS,Juniper,229-138,Mouth-blown glass cylinder with sandblasted vertical lines.  6' suspension cable and clear cord. Fluorescent includes (1) 32 watt GX24Q-3 base triple tube compact fluorescent lamp and electronic ballast, Incandescent accepts (1) 100 watt or equivalent E26 medium base A19 lamp (not included). 120V.,,
LINE VOLTAGE PENDANTS,Icicle II,397-139,Opal Crystalline glass with beautiful clear draw.  6' of field-cuttable cord. Fluorescent includes (1) 18 watt GX24Q-2 base triple tube compact fluorescent lamp and electronic ballast, Halogen includes (1) 60 watt E11 mini-can base krypton lamp. 120V.,,
LINE VOLTAGE PENDANTS,Dahling Grande,608-140,Translucent glass cylinder features soft frit accents that transition from opal to gray.  Includes 6' of field-cuttable cord. Incandescent includes (1) E26 medium base 75 watt or equivalent A19 lamp, fluorescent includes (1) GX24Q-3 base 26 watt triple tube compact fluorescent lamp. May also be lamped with a GX24Q-3 base 32 watt triple tube compact fluorescent lamp (not included). 120v.,,
LINE VOLTAGE PENDANTS,Indulgent,598-141,Fluted glass shade with colorful frit accents.  Includes 6' of field-cuttable cord. Incandescent includes (1) E26 medium base 75 watt or equivalent A19 lamp, fluorescent includes (1) GX24Q-3 base 26 watt triple tube compact fluorescent lamp. May also be lamped with a GX24Q-3 base 32 watt triple tube compact fluorescent lamp (not included). 120v.,,
LINE VOLTAGE PENDANTS,Monty,935-142,Mouth-blown elliptical-shaped Murano glass with millefiore glass fusion and silver flakes.  6' suspension cable and clear cord. Incandescent accepts (1) 100 watt or equivalent E26 medium base A19 lamp (not included), Fluorescent includes (1) 27 watt GU24 base self-ballasted compact fluorescent lamp. 120V.,,
LINE VOLTAGE PENDANTS,Abbey Grande,500-143,Grand transparent stained glass-style outer glass cylinder with opal inner glass and 6' of field-cuttable cord.  Incandescent Includes (1) E26 medium base 75 watt equivalent A19 lamp, Flourescent includes (1) GX24Q-3 base 26 watt triple tube compact fluorescent lamp. May also be lamped with a GX24Q-3 32 watt triple tube compact fluorescent lamp (not included). 120V.,,
LINE VOLTAGE PENDANTS,Dome-S-I Grande,HS-144,Cased opal glass enclosed in mouth-blown transparent glass.  Satin nickel finish. 6' black cord. Includes (1) 60 watt G9 base Halogen lamp. 120V.,,,
LINE VOLTAGE PENDANTS,Kona II,5180-145,Mouth-blown cone-shaped glass.  6' of field-cuttable cord. Fluorescent includes (1) 18 watt G24Q-2 base quad tube compact fluorescent lamp and electronic ballast, Incandescent accepts (1) 100 watt or equivalent E26 medium base A19 lamp (not included). 120V.,,
LINE VOLTAGE PENDANTS,Drop,5490-146,Gentle cone-shaped glass.  6' of field-cuttable black cord. Fluorescent includes (1) 18 watt G24Q-2 base quad tube compact fluorescent lamp and electronic ballast, Incandescent accepts (1) 100 watt or equivalent E26 medium base A19 lamp (not included). 120V.,,
LINE VOLTAGE PENDANTS,Perf,5500-147,Perforated metal cylinder with chrome coat finish and frosted acrylic inner cylinder.  Special food service version features acrylic lens on bottom. 6' of field-cuttable black cord. Fluorescent includes (1) 32 watt GX24Q-3 base triple tube compact fluorescent lamp and electronic ballast, Incandescent accepts (1) 60 watt or equivalent E26 medium base A19 lamp (not included). 120V.,,
LINE VOLTAGE PENDANTS,Canopy Goof Ring,CKGR--148,"Helps to cover gaps created by miscut holes in ceiling drywall. 5.5"" in diameter.  Works with all low-voltage and line-voltage Tech Lighting canopies that are less than 5.5"" in diameter.",,,
SUSPENSION,Arka Linear,SU850-149,"Inspired by modern architecture and clean lines, this open form design creates a visual weightlessness. The gently curved silhouette of the Arka linear suspension light by LBL Lighting provides an even wash of illumination which defines this LED light guide powered fixture.  Includes 12' of field-cuttable cable. Includes (1) 50 watt 2100 lumen 80 CRI 3000K LED Module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Interlace 18,SU832-150,"An 18-inch aluminum outer ring is machined to receive hundreds of hand-strung strands of stainless steel cable which create an intricate, interwoven pattern. The Interlace 18 from LBL Lighting features powerful LEDs that shine inward toward the reflective cables to create visually interesting general illumination lighting. Independent suspension cables allow multiple hanging angles for this lighting fixture.  Includes 12' of field-cuttable cable. Includes (1) 25 watt 2000 lumen 80 CRI 2700K LED module. 120v or 277v.",,,
SUSPENSION,Interlace,SU767-151,"A 30-inch aluminum outer ring is machined to receive hundreds of hand-strung strands of stainless steel cable which create an intricate, interwoven pattern. The Interlace from LBL Lighting features powerful LEDs that shine inward toward the reflective cables to create visually interesting general illumination lighting. Independent suspension cables allow multiple hanging angles for this lighting fixture.  Includes 12' of field-cuttable aircraft cable and (1) 30 watt 2400 lumen 2700K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Interlace 45,SU833-152,"A grand 45-inch aluminum outer ring is machined to receive hundreds of hand-strung strands of stainless steel cable which create an intricate, interwoven pattern. The Interlace 45 from LBL Lighting features powerful LEDs that shine inward toward the reflective cables to create visually interesting general illumination lighting. Independent suspension cables allow multiple hanging angles for this lighting fixture  Includes 12' of field-cuttable cable. Includes (1) 50 watt 4000 lumen 80 CRI 2700K LED module. 120v or 277v.",,,
SUSPENSION,Ortex Linear,SU886-153,"Inspired by the increasingly thin profile of modern electronics, this futuristic yet grounded form secretly conceals its LED light source to instill a sense of wonder. The Ortex linear suspension light from LBL Lighting features optimized LEDs shrouded within an extruded aluminum body that provide plenty of downward task light and a touch of indirect uplight.  Includes 6' of field-cuttable cable. Includes (1) 42 watt 3360 lumen 80 CRI 3000K LED strips. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Sphere 3-Light Chandelier,LP84903-154,Echoes of large white glass globes common in 1950’s décor are present in this modern yet miniature LED interpretation.  Featuring a unique crisscross patterned die cast aluminum heat sink and an optional warm color dimming LED module which gradually changes color from 3000K to 2200K as the Sphere pendant light from LBL Lighting dims to mimic halogen.  Each pendant includes 6' of field-cuttable cord. Rubberized Black includes Black cloth cord, Rubberized White includes White cloth cord, Satin Nickel includes Clear cord. Includes (3) 14.5 watt 1000 lumen 90 CRI 3000K or Warm Color Dimming 90 CRI 3000K-2200K LED modules. Dimmable with a low-voltage electronic dimmer. 120v.,
SUSPENSION,Sphere 7-Light Chandelier,LP84907-155,Echoes of large white glass globes common in 1950’s décor are present in this modern yet miniature LED interpretation.  Featuring a unique crisscross patterned die cast aluminum heat sink and an optional warm color dimming LED module which gradually changes color from 3000K to 2200K as the Sphere pendant light from LBL Lighting dims to mimic halogen.  Each pendant includes 6' of field-cuttable cord. Rubberized Black includes Black cloth cord, Rubberized White includes White cloth cord, Satin Nickel includes Clear cord. Includes (7) 14.5 watt 1000 lumen 90 CRI 3000K or Warm Color Dimming 90 CRI 3000K-2200K LED modules. Dimmable with a low-voltage electronic dimmer. 120v.,
SUSPENSION,Sphere 11-Light Chandelier,LP84911-156,Echoes of large white glass globes common in 1950’s décor are present in this modern yet miniature LED interpretation.  Featuring a unique crisscross patterned die cast aluminum heat sink and an optional warm color dimming LED module which gradually changes color from 3000K to 2200K as the Sphere pendant light from LBL Lighting dims to mimic halogen.  Each pendant includes 6' of field-cuttable cord. Rubberized Black includes Black cloth cord, Rubberized White includes White cloth cord, Satin Nickel includes Clear cord. Includes (11) 14.5 watt 1000 lumen 90 CRI 3000K or Warm Color Dimming 90 CRI 3000K-2200K LED modules. Dimmable with a low-voltage electronic dimmer. 120v.,
SUSPENSION,Spindrift,SU863-157,Mid-century modern design influenced the asymmetry of hundreds of stamped out holes in the metal shade of the large-scale Spindrift pendant light by LBL Lighting. The glass dome gently diffuses a powerful LED light source and features a decorative finial.  Includes 12' of field-cuttable cloth cord. Rubberized Black includes black cloth cord, Brushed Aluminum and Rubberized White include black/white cloth cord. Includes (1) 25 watt 2125 lumen 80 CRI 3000K LED module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.,,
SUSPENSION,Xterna Linear,SU858-158,"Stunning design, powerful performance and remarkable flexibility are the tenets that brought this incredible light fixture to life. Inspired by metal elevator gates of the early 20th century, the Xterna linear suspension light from LBL Lighting has upward and downward firing LEDs embedded within its unique structure which are gradually revealed as it extends to a fully and easily customizable length from 7"" to 76"" even after installation.  Includes 12' of field-cuttable cable. Includes (1) 40 watt 3000 lumen 80 CRI 3000K LED module. 120v or 277v.",,,
SUSPENSION,Vera,SU776-159,"Large-scale, hand-blown opal glass is hand-carved to create a hammered look inspired by elegant stemware.  The decorative center band is then hand-gilded for a silver metallic sheen to create a clean, contemporary aesthetic. Includes 12' of field-cuttable aircraft cable. Incandescent includes (3) E26 medium base 75 watt or equivalent A19 lamps; fluorescent includes (3) GX24Q-3 base 32 watt triple tube compact fluorescent lamps. May also be lamped with (3) GX24Q-3 base 26 watt triple tube compact fluorescent lamps (not included). Incandescent verion dimmable with a standard incandescent dimmer. 120v.",,,
SUSPENSION,East River,SU770-160,"Inspired by the underlying structure and color of the world-famous Golden Gate bridge, this LED-powered fixture provides indirect uplight as well as task-oriented downlight which accentuates the interior of its architectural bridge-like trusses.  Includes 12' of field-cuttable aircraft cable and (1) 8 watt (up) and 21w (down) 2320 total lumens 3000K 80 CRI LED modules. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Calix 7-Light,SU768-161,"Ultra-sleek and modern, the structural aluminum frame encases seven infinitely aimable LED spotlights.  Each spot features a sleek, die-cast aluminum head held within two concentric brackets – each able to rotate 360 degrees on independent perpendicular axes. Total aiming flexibility results in limitless design options with the ability to layer direct and indirect light from a single fixture. Includes 12' of field-cuttable aircraft cable and (7) 7 watt 460 lumen (net of optic/driver) 3000K 80 CRI LED modules. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Vitre  Rectangle,SU830-162,"Two wave-cut acrylic panels separated by open air define this intriguing suspension fixture.  Using LED light-guide technology, the light source is embedded within the brushed metal frame then redirected downward using a special honeycomb grid pattern etched into the panels to create diffuse ambient light. Includes 12' of field-cuttable aircraft cable and (1) 60 watt 4800 lumen 3000K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Vitre  Square,SU831-163,"Two wave-cut acrylic panels separated by open air define this intriguing suspension fixture.  Using LED light-guide technology, the light source is embedded within the brushed metal frame then redirected downward using a special honeycomb grid pattern etched into the panels to create diffuse ambient light. Includes 12' of field-cuttable aircraft cable and (1) 40 watt 3200 lumen 3000K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.",,,
SUSPENSION,Questa,SU769-164,Notions of futuristic architecture and transportation converge as powerful linear LED light flows between parallel acid-etched metal panels supported by slim linear rods and sharp “X” end caps.  Includes 12' of field-cuttable aircraft cable and (1) 21 watt 1680 lumen 3000K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.,,,
SUSPENSION,Mademoiselle,SU697-165,Sleek linear suspension piece accented with multiple layers of SWAROVSKI ELEMENTS crystals suspended in an intricate web of elegant Rhodium plated chain.  Includes 12' of field-cuttable aircraft cable. Includes (1) 21 watt 1600 lumen 3000K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v.,,,
SUSPENSION,Twilight Glass,GB1-166,Additional glass teardrops can be ordered in several color options and may be easily attached with wide or narrow end toward the socket.,,,
SUSPENSION,Bling Chandelier,HS-167,"Discs of transparent crystal with sandblasted interior and decorative metal accents suspended from a rectilinear canopy.  Other colors available as custom. While the individual Bling pendants cannot be adjusted, the overall height of the fixture can be easily modified in the field by shortening the suspension cables. Adjustable to minimum overall length of 25"" and maximum overall length of 76"".  Includes (26) 10 watt low-voltage G4 base Xenon bi-pin lamps and (4) 75 watt electronic transformers. 12v. Dimmable with 600 watt low-voltage electronic dimmer.",,,
SUSPENSION,Constellation Grande,LP747-168,Pebble-shaped mouth-blown glass. Amber and Opal feature a silver leaf detail. Solid opal offers a smooth white appearance. Includes 9' of field-cuttable aircraft cable.  Incandescent includes (1) E26 medium base 75 watt or equivalent A19 lamp, fluorescent includes (1) GX24Q-3 base 32 watt triple tube compact fluorescent lamp. May also be lamped with (1) GX24Q-3 base 26 watt triple tube compact fluorescent lamp (not included) Incandescent verion dimmable with a standard incandescent dimmer. 120v.,,
SUSPENSION,Constellation Chandelier,HS-169,Pebble-shaped mouth-blown opal glass with silver leaf suspended at various lengths from a metal canopy.  These lengths cannot be adjusted. Includes (7) 35 watt low-voltage GY6.35 base frosted Xenon bi-pin lamps  and (4) 75 watt electronic transformers. 12V. Dimmable with 600 watt low-voltage electronic dimmer.,,,
SUSPENSION,Duke,EF-170,Glass shade with mica flakes or spherical glass beads embedded onto the glass and edge-lit by LED's.  Includes 6' of field-cuttable aircraft cable and 8 watt 3000K LED module. Dimmable with a low-voltage electronic dimmer. 120v.,,,
SUSPENSION,Duke Grande,SU756-171,Glass shade with mica flakes or spherical glass beads embedded onto the glass and edge-lit by LED's. Includes 12' of field-cuttable aircraft cable.  Includes (1) 11 watt 840 lumen 3000K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v or 277v.,,,
SUSPENSION,Mezzo 3-Light,SU7723-172,"This modern interpretation of a warehouse fixture fuses a spun metal shade over hand-blown opal glass whose acid-etched, matte finish creates a subtle glow when illuminated.  The eye follows a continuous visual line from each pendant’s stem to the custom-made three-port canopy by way of the stylish black and white herringbone cloth cords. Includes 6' of field-cuttable cord per light and (3) E26 medium base 75 watt or equivalent A19 lamps. Dimmable with a standard incandescent dimmer. 120v.",,,
SUSPENSION,Tessa 6-Light,SU7576-173,A delicate lace-like pattern is acid-etched into metal panels adjacent to the eight individual light sources in this elegant chandelier.  The choice of exposed squirrel-cage lamps or frosted cylindrical lamp shades helps create two unique looks. Includes several rigid stems for a field-adjustable overall height of 2'-8'. Includes (6) E26 medium base 60 watt or equivalent A19 lamp (Opal Glass version only) or (6) E26 medium base 30 watt or equivalent Squirrel Cage lamps (No Glass version only). 120v.,,,
SUSPENSION,Tessa 8-Light,SU7578-174,A delicate lace-like pattern is acid-etched into metal panels adjacent to the eight individual light sources in this elegant chandelier.  The choice of exposed squirrel-cage lamps or frosted cylindrical lamp shades helps create two unique looks. Includes several rigid stems for a field-adjustable overall height of 2'-8'. Includes (8) E26 medium base 60 watt or equivalent A19 lamp (Opal Glass version only) or (8) E26 medium base 30 watt or equivalent Squirrel Cage lamps (No Glass version only). 120v.,,,
SUSPENSION,Rock Candy 5-Light Chandelier,SU6235-175,Five cylinders of mouth-blown glass in Opal or Transparent Colors secured to a metal ring. Transparent Colors are rolled in clear crystal frit and flash heated to create this unique texture and feature an inner opal glass diffuser to add depth to the chandelier. Includes 12' of field-cuttable aircraft cable.  Includes (5) G9 base 60 watt halogen lamps. Dimmable with a standard incandescent dimmer. 120v.,,,
SUSPENSION,Rock Candy 8-Light Chandelier,SU6238-176,Eight cylinders of mouth-blown glass in Opal or Transparent Colors secured to a metal ring. Transparent Colors are rolled in clear crystal frit and flash heated to create this unique texture and feature an inner opal glass diffuser to add depth to the chandelier. Includes 12' of field-cuttable aircraft cable.  Includes (8) G9 base 60 watt halogen lamps. Dimmable with a standard incandescent dimmer. 120v.,,,
SUSPENSION,Roka,EF-177,Linear suspension with brilliant colored crystal beads reminiscient of an abacus.  Includes 6' of field-cuttable aircraft cable and 12 watt 3000K LED module. 120v.,,,
SUSPENSION,Scarlett,SU755-178,Linear metal frame filled with brilliant plated metal facets. Includes 12' of field-cuttable aircraft cable.  Includes (1) 19 watt 1500 lumen 3000K 80 CRI LED module. Dimmable with a low-voltage electronic dimmer. 120v.,,,
SUSPENSION,Derby Rectangular,PF-179,Rectilinear metal frame with fabric inner shade and opal diffuser.  Includes 6' of field-cuttable aircraft cable. Includes (1) mini bi-pin base 24 watt T5 high output linear fluorescent lamp. 120v.,,,
SUSPENSION,Fiona Grande,680-180,Modern round fabric shade with opal glass diffuser.  Includes 6' of field-cuttable aircraft cable. Incandescent includes (4) E26 medium base 75 watt or equivalent A19 lamps, fluorescent includes (4) GU24 base 27 watt self-ballasted compact fluorescent lamps. 120v.,,
SUSPENSION,Cato,655-181,Fabric drum with pinking sheared seam detail and opal glass diffuser.  Includes 6' of field-cuttable aircraft cable. Incandescent includes (4) E26 medium base 75 watt or equivalent A19 lamps, fluorescent includes (4) GU24 base 27 watt self-ballasted compact fluorescent lamps. 120v.,,
SUSPENSION,Chicago Jazz,643-182,Form and function unite with an elliptical grid of annodized aluminum panels that offer both ambient and down light.  Includes black and white cloth-covered cord and 6' of field-cuttable aircraft cable. Incandescent includes (1) E26 medium base 75 watt or equivalent A19 lamp, fluorescent includes (1) GX24Q-3 base 32 watt triple tube compact fluorescent lamp. May also be lamped with a GX24Q-3 base 26 watt triple tube compact fluorescent lamp (not included). 120v.,,
SUSPENSION,Ambra,399-183,"Italian organic handcrafted bowl with scavo finish.  Shipped in an assembled overall height of 31.5"", field-expandable to a maximum of 67.5"". Ships with (1) additional 24"" stem and (1) additional 12"" stem. Halogen includes 120 volt 150 watt mini-candelabra base halogen lamp; fluorescent includes (3) 26 watt G24Q-3 base quad tube compact fluorescent lamps and electronic ballast.",,,
SUSPENSION,Veneto,HS-184,"Italian Murano glass with delicate fused frit patterns and inlaid silver flakes.  Shipped in an assembled overall height of 31"", field-expandable to a maximum of 67"". Ships with (1) additional 24"" stem and (1) additional 12"" stem. Bronze or satin nickel body and stems. Includes (1) 150 watt E11 mini-candelabra base lamp. 120V. Custom lengths available (consult factory).",,,
SUSPENSION,Veneto Grande,318-185,"Italian Murano glass with delicate fused frit patterns and inlaid silver flakes.  Shipped in an assembled overall height of 32"", field-expandable to a maximum of 68"". Ships with (1) additional 24"" stem and (1) additional 12"" stem. Bronze or satin nickel body and stems. Fluorescent includes (3) 26 watt G24Q-3 base quad tube compact fluorescent lamp and electronic ballast; Halogen includes (1) 250 watt E11 mini-candelabra base halogen lamp. 120V. Custom lengths available (consult factory).",,,
SUSPENSION,Veneto Venti,400-186,"Italian Murano glass with delicate fused frit patterns and inlaid silver flakes.  Shipped in an assembled overall height of 17"", field-expandable to a maximum of 53"". Ships with (1) additional 24"" stem and (1) additional 12"" stem. Bronze or satin nickel body and stems. Fluorescent includes (3) 26 watt G24Q-3 base quad tube compact fluorescent lamps and electronic ballast; Incandescent accepts (3) 100 watt or equivalent E26 medium base A19 lamp (not included). 120V. Custom lengths available (consult factory).",,,
SUSPENSION,Twilight 12 Chandelier,HS4412-187,"Twelve frosted glass teardrops suspended on stainless steel arms.  Colored Confuzion teardrops may be ordered separately in several color choices (shown below). Heatresistant Flite Paper Shades are also available. 31"" in diameter. Field-cuttable stem allows for easy shortening from standard lengths.Includes (12) 10 watt low-voltage G4 base bi-pin lamps. 12V. Dimmable with 600W low-voltage electronic dimmer. For special sloped ceiling mount, consult factory. Installed and shipped complete by LBL factory. Must be ordered with fixture (for factory installation).",,,
SUSPENSION,Twilight 20 Chandelier,HS4420-188,"Twenty frosted glass teardrops suspended on stainless steel arms.  Colored Confuzion teardrops may be ordered separately in several color choices (shown below). Heatresistant Flite Paper Shades are also available. 40"" in diameter. Field-cuttable stem allows for easy shortening from standard lengths.Includes (20) 10 watt low-voltage G4 base bi-pin lamps. 12V. Dimmable with 600W low-voltage electronic dimmer. For special sloped ceiling mount, consult factory. Installed and shipped complete by LBL factory. Must be ordered with fixture (for factory installation).",,,
SUSPENSION,Batons Chandelier,HS20612-189,"Twelve-light suspension fixture in satin nickel.  Supplied with frosted glass bulb covers. 24"" diameter. Height of main assembly is 42"". Includes (12) 10 watt low-voltage G4 base xenon bi-pin lamps. 12V. (Note: Special lengths may be ordered; consult factory.)",,,
SUSPENSION,Tubes 7,HS72932/1-190,Cascading frosted boroscillicate tubes of glass.  Field-cuttable rods for easy shortening or consult factory to add length and additional tubes of light. 12V. Includes (13) 35 watt low-voltage GY6.35 base bi-pin lamps.,,,
SUSPENSION,Fusion Jack Wood Canopy 11 Light Round,CK011BD-FJ--191,"11-light round metal canopy accented with solid wood or metal detail (also available in LED).  Compatible with all low-voltage LBL Fusion Jack pendants and swivel heads. Note: minimum 12"" clearance between canopy and top of pendant or head is required.",,,
SUSPENSION,Fusion Jack Wood Canopy 7 Light Rectangle,CK007RD-FJ--192,"7-light rectangular metal canopy accented with solid wood or metal detail (also available in LED).  Compatible with all low-voltage LBL Fusion Jack pendants and swivel heads. Note: minimum 12"" clearance between canopy and top of pendant or head is required.",,,
SUSPENSION,Fusion Jack Wood Canopy 7 Light Rectangle LED,CK007RD-FJ--193,"7-light rectangular metal canopy accented with solid wood or metal detail.  Compatible with all low voltage LBL 12 volt LED Fusion Jack pendants. Consult factory for use with 12 volt LED Fusion Jack Heads. Note: minimum 12"" clearance between canopy and top of pendant or head is required.",,,
SUSPENSION,Fusion Jack Wood Canopy 11 Light Round LED,CK011BD-FJ--194,"11-light round metal canopy accented with solid wood or metal detail.  Compatible with all low voltage LBL 12 volt LED Fusion Jack pendants. Consult factory for use with 12 volt LED Fusion Jack Heads. Note: minimum 12"" clearance between canopy and top of pendant or head is required.",,,
LOW VOLTAGE HEADS,Auri,HD852-195,"Ultra-modern consumer electronics inspire the futuristic robotic appearance of the Auri light head from LBL Lighting. This light fixture features a powerful oval-shaped LED light source optimized through use of an internal reflector.  Rotates 360°, pivots 350°. Includes (1) 8 watt 610 lumen 80 CRI 3000K LED module.",,,
LOW VOLTAGE HEADS,Swing,HD503-196,"Art Deco-inspired head with multiple accessory options and proprietary 6 watt LED module.  The screw base lamp module is easily replaced in the field, though it uses a dedicated base. The heat sink remains with the fixture minimizing any waste at the end of life. Rotates 360°, pivots 90°. Accessory required. Compatible accessories (sold separately, below): Mini-Rock Candy, Onyx Cone, Sigma, and Voti Accessories.",,,
LOW VOLTAGE HEADS,Vent,HD475-197,"Sleek head with multiple accessory options; rotates 360°, pivots 90°.  Includes removeable handle and Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers). Accessory required. Compatible accessories (sold separately): Mini-Rock Candy, Onyx Cone, Sigma, and Voti Accessories.",,,
LOW VOLTAGE HEADS,Modo,HD474-198,"Modern head with multiple accessory options; rotates 360°, pivots 90°.  Can hold up to two lenses or louvers (sold separately). Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers). Optional accessories (sold separately): Modo Glass Shield and Modo Metal Shield Accessories.",,,
LOW VOLTAGE HEADS,Merlino Swivel II,HA300-199,"Frosted glass cylinder.  Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Bare  Swivel II,HAMR16-200,"Bare MR16 lamp swivel head  Includes (1) 50 watt Constant CRI Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Twin Spot Swivel,HE382-201,"Two independent MR16 swivel heads double the beam direction and illumination versatility.  Each head pivots 340°, and the entire assembly rotates 360°. Includes (2) 35 watt Halogen low-voltage GU5.3 base MR16 lamps. For use with 24 volt transformer, add suffix “-24"" to item number.",,,
LOW VOLTAGE HEADS,Shield Swivel I,HB295-202,"Shade in bronze, frosted borosilicate glass or anodized aluminum in silver or black.  Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Bare  Swivel I,HBMR16-203,"Bare MR16 lamp swivel head.  Includes (1) 50 watt Constant CRI Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Orbit Swivel I,HB273-204,"Satin nickel or bronze steel reflector.  Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Rev Swivel,HE441-205,"Simple cylinder swivel.  Swivels 360°; head tilts 90°. Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Mini-Dome I Swivel I,HB325-206,"Small, elegant transparent glass.  Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix “-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Apex Swivel,HD162-207,"Swivels 360°; head tilts 210° in yolk.   Includes (1) 50 watt Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. Holds up to two lenses or louvers (not included). For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Bare  Apollo Swivel I,HDMR16-208,"Adjustable head rotates 360°, pivots 260° to direct the beam.  Includes (1) 50 watt Constant CRI Halogen or 6 watt LED low-voltage GU5.3 base MR16 lamp. For use with 24 volt transformer, add suffix ""-24"" to item number (LED lamp option not compatible with 24 volt transformers).",,,
LOW VOLTAGE HEADS,Puck Swivel,HE437-209,Swivel head swivels 360° around stem and pivots 180°.  Includes (1) 50 watt low-voltage AR111 lamp. (AR111 lamps are low-voltage halogen products ideal for display and accent lighting applications.) 12 volt only.,,,
LOW VOLTAGE HEADS,Twin Tube Monorail  Kit,HBTWNTB-210,Additional Twin Tube Head for Twin Tube Monorail Bath Kit.  Includes (2) 20 watt low-voltage G4 base bi-pin lamps.,,,
MONORAIL CHANDELIERS,Monorail Chandelier Single Tier Round Remote Transformer,HS130-211,"Sleek, modern lines on a Fusion Jack compatible chandelier.  Includes transformer, canopy, cable supports and rail. Mounting hardware included. Field cuttable stems. 150W or 300W. Magnetic transformer dimmable with 600w low-voltage magnetic dimmer; electronic transformer dimmable with 600w low-voltage electronic dimmer. Decorative elements sold separately.",,,
